,doy,soy,head_masl,head_bed
94,192.8125,16659000.0,593.4520572,500.4520572
95,192.82291669999998,16659900.00288,593.3463502000001,500.3463502000001
96,192.83333330000002,16660799.99712,592.9575969,499.9575969
97,192.84375,16661700.0,592.4365172,499.4365172
98,192.85416669999998,16662600.00288,592.0470342,499.0470342
99,192.86458330000002,16663499.99712,591.3285917000001,498.32859170000006
100,192.875,16664400.0,590.5059701,497.5059701
101,192.88541669999998,16665300.00288,589.6853808999999,496.6853808999999
102,192.89583330000002,16666199.99712,588.9118176,495.91181759999995
103,192.90625,16667100.0,588.2603684999999,495.2603684999999
104,192.91666669999998,16668000.00288,587.5432452,494.5432452
105,192.92708330000002,16668899.99712,586.698217,493.698217
106,192.9375,16669800.0,585.6332378999999,492.6332378999999
107,192.94791669999998,16670700.00288,584.2886347,491.2886347
