"Date Time, GMT+00:00",Temp,albedo,SW_down,melt_rate,SOY,DOY,qsuh_mmh,Qsuh_m3s
2017-07-18 20:00:00,3.021020833333342,0.7282599580712772,414.2,1.2090654601153108,17179200.0,198.83333333333334,0.8615561982461429,0.1675248163256389
2017-07-18 21:00:00,3.0947916666666755,0.7282599580712772,282.8,0.8771115715932963,17182800.0,198.875,0.8625975644300888,0.1677273041947395
2017-07-18 22:00:00,3.075656250000008,0.7282599580712772,247.0,0.7847088418501091,17186400.0,198.91666666666666,0.8250807865184931,0.16043237515637362
2017-07-18 23:00:00,3.0272500000000075,0.7282599580712772,162.0,0.5651682358490595,17190000.0,198.95833333333334,0.7682610832053569,0.14938409951215273
2017-07-19 00:00:00,2.9121875000000084,0.5281715095676779,70.4,0.4578465968284939,17193600.0,199.0,0.6957900422504966,0.13529250821537434
2017-07-19 01:00:00,2.7556875000000067,0.5281715095676779,33.0,0.2841455727321067,17197200.0,199.04166666666666,0.617344386543751,0.12003918627239601
2017-07-19 02:00:00,2.5339479166666736,0.5281715095676779,9.4,0.16838816124793368,17200800.0,199.08333333333334,0.534237821860788,0.10387957647293102
2017-07-19 03:00:00,2.270229166666674,0.5281715095676779,3.2,0.12770405932553794,17204400.0,199.125,0.450853218664119,0.08766590362913423
2017-07-19 04:00:00,2.0812083333333407,0.5281715095676779,2.0,0.1129307922867947,17208000.0,199.16666666666666,0.37352406355852497,0.07262967902526873
2017-07-19 05:00:00,1.9278750000000069,0.5281715095676779,1.8,0.10437708805811527,17211600.0,199.20833333333334,0.3060429981210693,0.05950836074576346
2017-07-19 06:00:00,1.8739166666666736,0.5281715095676779,3.0,0.1070013967635252,17215200.0,199.25,0.24951756409921966,0.048517304130403824
2017-07-19 07:00:00,1.8913125000000075,0.5281715095676779,13.0,0.15222306653083012,17218800.0,199.29166666666666,0.20398050876053972,0.03966287670343827
2017-07-19 08:00:00,1.9708229166666733,0.5281715095676779,15.2,0.16595600054630386,17222400.0,199.33333333333334,0.1707520559982614,0.033201788666328606
2017-07-19 09:00:00,2.153781250000007,0.5281715095676779,34.6,0.2611465607282088,17226000.0,199.375,0.14739636948115703,0.028660405176891644
2017-07-19 10:00:00,2.267916666666673,0.5281715095676779,41.8,0.2987866837940017,17229600.0,199.41666666666666,0.13641602375883052,0.026525337953105934
2017-07-19 11:00:00,2.371187500000008,0.5281715095676779,41.0,0.3004020752126173,17233200.0,199.45833333333334,0.13443243653411904,0.026139640437189807
2017-07-19 12:00:00,2.477031250000008,0.5281715095676779,36.6,0.2861794363483365,17236800.0,199.5,0.13691185891965993,0.02662175034548943
2017-07-19 13:00:00,2.5342812500000083,0.5281715095676779,80.8,0.4850772375531577,17240400.0,199.54166666666666,0.14018944483161147,0.027259058717257784
