UTC_DOY,UTC_SOY,foxx_z_meters,foxx_dz_mper6h,m3_m3s_6h,m4_m3s_6h,mF_m3s_6h
7.75,669600,2.358,0.00800000000000001,2.05679703703704,7.60362814814815,4.41043037037037
8,691200,2.357,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
8.25,712800,2.355,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
8.5,734400,2.354,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
8.75,756000,2.353,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
9,777600,2.353,0,0,0,0
9.25,799200,2.352,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
9.5,820800,2.352,0,0,0,0
9.75,842400,2.351,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
10,864000,2.35,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
10.25,885600,2.349,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
10.5,907200,2.35,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
10.75,928800,2.35,0,0,0,0
11,950400,2.353,0.00300000000000011,0.771298888888918,2.85136055555566,1.65391138888895
11.25,972000,2.354,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
11.5,993600,2.352,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
11.75,1015200,2.355,0.00300000000000011,0.771298888888918,2.85136055555566,1.65391138888895
12,1036800,2.354,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
12.25,1058400,2.354,0,0,0,0
12.5,1080000,2.356,0.00199999999999978,0.514199259259203,1.90090703703683,1.10260759259247
12.75,1101600,2.358,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
13,1123200,2.359,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
13.25,1144800,2.358,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
13.5,1166400,2.357,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
13.75,1188000,2.355,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
14,1209600,2.354,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
14.25,1231200,2.354,0,0,0,0
14.5,1252800,2.354,0,0,0,0
14.75,1274400,2.356,0.00199999999999978,0.514199259259203,1.90090703703683,1.10260759259247
15,1296000,2.355,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
15.25,1317600,2.358,0.00300000000000011,0.771298888888918,2.85136055555566,1.65391138888895
15.5,1339200,2.358,0,0,0,0
15.75,1360800,2.359,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
16,1382400,2.358,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
16.25,1404000,2.357,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
16.5,1425600,2.359,0.00199999999999978,0.514199259259203,1.90090703703683,1.10260759259247
16.75,1447200,2.358,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
17,1468800,2.359,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
17.25,1490400,2.358,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
17.5,1512000,2.361,0.00300000000000011,0.771298888888918,2.85136055555566,1.65391138888895
17.75,1533600,2.359,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
18,1555200,2.357,-0.00199999999999978,-0.514199259259203,-1.90090703703683,-1.10260759259247
18.25,1576800,2.357,0,0,0,0
18.5,1598400,2.355,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
18.75,1620000,2.353,-0.00199999999999978,-0.514199259259203,-1.90090703703683,-1.10260759259247
19,1641600,2.353,0,0,0,0
19.25,1663200,2.354,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
19.5,1684800,2.354,0,0,0,0
19.75,1706400,2.353,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
20,1728000,2.357,0.004,1.02839851851852,3.80181407407408,2.20521518518519
20.25,1749600,2.353,-0.004,-1.02839851851852,-3.80181407407408,-2.20521518518519
20.5,1771200,2.353,0,0,0,0
20.75,1792800,2.352,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
21,1814400,2.352,0,0,0,0
21.25,1836000,2.352,0,0,0,0
21.5,1857600,2.351,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
21.75,1879200,2.35,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
22,1900800,2.35,0,0,0,0
22.25,1922400,2.352,0.00199999999999978,0.514199259259203,1.90090703703683,1.10260759259247
22.5,1944000,2.352,0,0,0,0
22.75,1965600,2.352,0,0,0,0
23,1987200,2.353,0.00100000000000033,0.257099629629715,0.950453518518836,0.55130379629648
23.25,2008800,2.355,0.00199999999999978,0.514199259259203,1.90090703703683,1.10260759259247
23.5,2030400,2.356,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
23.75,2052000,2.357,0.00100000000000033,0.257099629629715,0.950453518518836,0.55130379629648
24,2073600,2.356,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
24.25,2095200,2.355,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
24.5,2116800,2.354,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
24.75,2138400,2.353,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
25,2160000,2.353,0,0,0,0
25.25,2181600,2.352,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
25.5,2203200,2.351,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
25.75,2224800,2.352,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
26,2246400,2.353,0.00100000000000033,0.257099629629715,0.950453518518836,0.55130379629648
26.25,2268000,2.351,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
26.5,2289600,2.353,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
26.75,2311200,2.352,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
27,2332800,2.354,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
27.25,2354400,2.352,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
27.5,2376000,2.351,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
27.75,2397600,2.352,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
28,2419200,2.351,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
28.25,2440800,2.351,0,0,0,0
28.5,2462400,2.351,0,0,0,0
28.75,2484000,2.351,0,0,0,0
29,2505600,2.351,0,0,0,0
29.25,2527200,2.351,0,0,0,0
29.5,2548800,2.351,0,0,0,0
29.75,2570400,2.35,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
30,2592000,2.35,0,0,0,0
30.25,2613600,2.349,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
30.5,2635200,2.349,0,0,0,0
30.75,2656800,2.35,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
31,2678400,2.35,0,0,0,0
31.25,2700000,2.351,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
31.5,2721600,2.352,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
31.75,2743200,2.355,0.00300000000000011,0.771298888888918,2.85136055555566,1.65391138888895
32,2764800,2.354,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
32.25,2786400,2.354,0,0,0,0
