,doy,soy,head_masl,head_bed
1961,205.82638889999998,17783400.00096,574.804303,481.804303
1962,205.82986110000002,17783699.99904,574.7947074,481.7947074
1963,205.83333330000002,17783999.99712,574.8083239,481.8083239
1965,205.84027780000002,17784600.001920003,573.7488417999999,480.7488417999999
1966,205.84375,17784900.0,573.7563259,480.7563259
1967,205.84722219999998,17785199.998079997,572.6942234,479.69422340000006
1968,205.8506944,17785499.99616,572.707165,479.70716500000003
1969,205.85416669999998,17785800.00288,572.6694923,479.6694923
1970,205.85763889999998,17786100.00096,571.6360757,478.6360757
1971,205.86111110000002,17786399.99904,571.6360754,478.6360754
1972,205.86458330000002,17786699.99712,571.6429525000001,478.6429525000001
1973,205.8680556,17787000.00384,570.582411,477.582411
1974,205.87152780000002,17787300.001920003,570.5820226,477.58202259999996
1975,205.875,17787600.0,569.5224249,476.52242490000003
1976,205.87847219999998,17787899.998079997,569.5252207999999,476.52522079999994
1977,205.8819444,17788199.99616,569.5199087,476.5199087
1978,205.88541669999998,17788500.00288,569.5226275,476.5226275
1979,205.88888889999998,17788800.00096,569.5212681,476.52126810000004
1980,205.89236110000002,17789099.99904,569.5210739,476.52107390000003
1981,205.89583330000002,17789399.99712,569.5204913,476.5204913
1982,205.8993056,17789700.00384,569.510119,476.51011900000003
1983,205.90277780000002,17790000.001920003,568.4548877999999,475.45488779999994
1984,205.90625,17790300.0,568.4498191,475.4498191
1985,205.90972219999998,17790599.998079997,567.3736701,474.3736701
1987,205.91666669999998,17791200.00288,565.246992,472.246992
1988,205.92013889999998,17791500.00096,564.1899455,471.1899455
1989,205.92361110000002,17791799.99904,564.1893629,471.1893629
1990,205.92708330000002,17792099.99712,563.1183168,470.1183168
1991,205.9305556,17792400.00384,561.0014585,468.0014585
1992,205.93402780000002,17792700.001920003,561.0096147999999,468.0096147999999
1993,205.9375,17793000.0,559.9268595,466.9268595
1994,205.94097219999998,17793299.998079997,558.8560219,465.8560219
1995,205.9444444,17793599.99616,557.8021669999999,464.80216699999994
1996,205.94791669999998,17793900.00288,556.7298433,463.72984329999997
1997,205.95138889999998,17794200.00096,555.6598558,462.65985579999995
1998,205.95486110000002,17794499.99904,554.5899007,461.58990070000004
1999,205.95833330000002,17794799.99712,553.5183724999999,460.51837249999994
2000,205.9618056,17795100.00384,552.4575414,459.45754139999997
2001,205.96527780000002,17795400.001920003,551.3893445,458.3893445
2002,205.96875,17795700.0,550.3163787000001,457.3163787000001
2003,205.97222219999998,17795999.998079997,549.2519524,456.25195240000005
2004,205.9756944,17796299.99616,548.176609,455.176609
2005,205.97916669999998,17796600.00288,547.1073536,454.1073536
2006,205.98263889999998,17796900.00096,546.0422577,453.04225770000005
2007,205.98611110000002,17797199.99904,544.9625298,451.96252979999997
2008,205.98958330000002,17797499.99712,544.9614986,451.9614986
3056,209.62847219999998,18111899.998079997,544.8407236,451.84072360000005
3057,209.6319444,18112199.99616,544.8276409,451.8276409
3058,209.63541669999998,18112500.00288,545.8982624,452.8982624
3059,209.63888889999998,18112800.00096,546.9696655,453.9696655
3060,209.64236110000002,18113099.99904,548.0472338,455.04723379999996
3061,209.64583330000002,18113399.99712,549.1186659,456.1186659
3062,209.6493056,18113700.00384,551.2573927,458.25739269999997
3063,209.65277780000002,18114000.001920003,552.3276005,459.3276005
3064,209.65625,18114300.0,553.4038038,460.4038038
3065,209.65972219999998,18114599.998079997,555.5365283,462.5365283
3066,209.6631944,18114899.99616,556.6011037000001,463.60110370000007
3067,209.66666669999998,18115200.00288,557.6657242,464.6657242
3068,209.67013889999998,18115500.00096,559.7925938999999,466.79259389999993
3069,209.67361110000002,18115799.99904,560.8664239,467.8664239
3070,209.67708330000002,18116099.99712,561.9386736,468.9386736
3071,209.6805556,18116400.00384,564.0643535,471.06435350000004
3072,209.68402780000002,18116700.001920003,565.1322537000001,472.1322537000001
3073,209.6875,18117000.0,566.1945360000001,473.1945360000001
3074,209.69097219999998,18117299.998079997,568.320023,475.320023
3075,209.6944444,18117599.99616,569.3735311,476.37353110000004
3076,209.69791669999998,18117900.00288,570.4391684999999,477.43916849999994
3077,209.70138889999998,18118200.00096,572.5443784,479.5443784
3078,209.70486110000002,18118499.99904,573.6080831,480.60808310000004
3079,209.70833330000002,18118799.99712,574.6773106,481.67731060000006
