UTC_DOY,UTC_SOY_1h,m3_m3s_1h_24hS,m4_m3s_1h_24hS,mF_m3s_1h_24hS
223.375,19299600,1.13186690329472,4.18431906059482,2.42708447922478
223.416666666667,19303200,1.48421548313744,5.48689171672408,3.18263247424419
223.458333333333,19306800,2.01206653721138,7.43826711279529,4.31451387916561
223.5,19310400,2.6528007239059,9.80695221380537,5.68845280723944
223.541666666667,19314000,3.3264298127079,12.2972441623026,7.13292892137134
223.583333333333,19317600,3.96606247433101,14.661857112834,8.50450582755324
223.625,19321200,4.52972988395295,16.7456394719185,9.71318894864811
223.666666666667,19324800,4.98998479793684,18.447123457102,10.7001226198824
223.708333333333,19328400,5.33390155383118,19.7185250969572,11.4375900888461
223.75,19332000,5.56307607037,20.5657442310838,11.9290135154929
223.791666666667,19335600,5.66274583274466,20.9342063579074,12.1427373487487
223.833333333333,19339200,5.59709062087441,20.6914902278957,12.0019515856465
223.875,19342800,5.3431423177495,19.7526866264491,11.4574052408017
223.916666666667,19346400,4.90933466625851,18.1489736638368,10.5271829550913
223.958333333333,19350000,4.33550326918861,16.0276167751973,9.29670499565444
224,19353600,3.69288558922542,13.6519687205381,7.9187272558919
224.041666666667,19357200,3.06065577308568,11.3147228282434,6.56302441698986
224.083333333333,19360800,2.49039463016315,9.20656456078146,5.34020222379436
224.125,19364400,2.01191732729714,7.43771550916916,4.31419392540963
224.166666666667,19368000,1.64038829069423,6.06423597292972,3.51751689943118
224.208333333333,19371600,1.37632120592804,5.08802496009196,2.95127265194542
224.25,19375200,1.20557901793942,4.45682018719084,2.58514681752994
224.291666666667,19378800,1.12052065381985,4.14237390979503,2.40275449314804
224.333333333333,19382400,1.15139767532889,4.25652099657584,2.46896469812104
224.375,19386000,1.33395403696881,4.93140075621824,2.86042389763489
224.416666666667,19389600,1.67629812282979,6.19698850295796,3.59451905929123
224.458333333333,19393200,2.15890274658999,7.98109555658136,4.62937765310727
224.5,19396800,2.73460515151532,10.1093692424249,5.86386765151551
224.541666666667,19400400,3.33800852663642,12.3400486945733,7.15775738555161
224.583333333333,19404000,3.91902733943198,14.4879762343466,8.40364746199862
224.625,19407600,4.45354690602621,16.4640039848274,9.54982828957338
224.666666666667,19411200,4.92333852307513,18.2007435360974,10.5572117009005
224.708333333333,19414800,5.31605946776656,19.6525659452374,11.3993309525126
224.75,19418400,5.62525299782018,20.7956017363273,12.0623407248502
224.791666666667,19422000,5.82414563088153,21.5308739075587,12.4888301127192
224.833333333333,19425600,5.86008221747389,21.6637253442545,12.5658896426876
224.875,19429200,5.69457914670204,21.0518886949084,12.2109981504413
224.916666666667,19432800,5.32620237967272,19.6900625621058,11.4210805981555
224.958333333333,19436400,4.79056744949481,17.7099115025248,10.2725080744947
225,19440000,4.1603394612793,15.3800660269355,8.92109779461246
225.041666666667,19443600,3.51626098796592,12.9990176681937,7.53998764691636
225.083333333333,19447200,2.90159983600425,10.7267201334979,6.22195764041467
225.125,19450800,2.33210534732012,8.6213960561101,5.00077939899257
225.166666666667,19454400,1.81872187844179,6.72350485709292,3.89992112177098
225.208333333333,19458000,1.3675888004999,5.05574274530907,2.93254758310629
225.25,19461600,0.980040499227522,3.62304271742169,2.10152013259059
225.291666666667,19465200,0.672021787106347,2.48435002802789,1.44102954546945
225.333333333333,19468800,0.511981266829972,1.89270749699297,1.09785150776982
225.375,19472400,0.574620604280574,2.12427445320897,1.23217027199266
225.416666666667,19476000,0.884389575715382,3.26943755302443,1.8964139746103
225.458333333333,19479600,1.41548606776659,5.23281078024412,3.0352546360662
225.5,19483200,2.09185607744121,7.73323544612842,4.48560816077469
225.541666666667,19486800,2.81497147432119,10.4064698426524,6.03619873935518
225.583333333333,19490400,3.51934845869263,13.010431521336,7.54660817116619
225.625,19494000,4.17819499844431,15.4460749050811,8.95938577440519
225.666666666667,19497600,4.77220139509802,17.6420153291702,10.2331253825533
225.708333333333,19501200,5.28954028380855,19.5545290412658,11.3424653443755
225.75,19504800,5.72586663336378,21.1675532014115,12.2780885239204
225.791666666667,19508400,6.03949914017218,22.32699913312,12.9506168814855
225.833333333333,19512000,6.15651076245608,22.7595711608102,13.2015272062838
225.875,19515600,6.02987873098334,22.2914341197581,12.9299876487037
225.916666666667,19519200,5.65908923743569,20.9206885481688,12.1348964394551
225.958333333333,19522800,5.09013743440913,18.8173706871783,10.9148818895702
226,19526400,4.41552743541368,16.3234524808523,9.46830239040324
226.041666666667,19530000,3.72888242289134,13.7850428803982,7.99591597484593
226.083333333333,19533600,3.07412719046765,11.3645243626469,6.59191144243939
226.125,19537200,2.46922408600394,9.12830066668694,5.29480580925481
226.166666666667,19540800,1.92489280786246,7.11600069062495,4.12758553548578
226.208333333333,19544400,1.44461040490628,5.34047849158551,3.09770652544798
226.25,19548000,1.02461127649943,3.78781328571155,2.19709412757952
226.291666666667,19551600,0.672169331916443,2.48489547604778,1.44134592870986
226.333333333333,19555200,0.438577053383557,1.62134462865771,0.940449408064543
226.375,19558800,0.381313954056983,1.40965270862413,0.817659017071331
226.416666666667,19562400,0.519309030237205,1.91979698958893,1.11356457507602
226.458333333333,19566000,0.832940761368895,3.07924005375278,1.78609126934222
226.5,19569600,1.26403711004082,4.67292979187483,2.71049965505121
226.541666666667,19573200,1.7383320637099,6.42631741121817,3.72753965973196
