Timestamp (UTC),RADI,JEME,JNIH,PIRA,SBPI
2017-08-13 16:00:00,1.3112894022738713,0.13460247060426592,0.13378336252001644,NaN,NaN
2017-08-13 17:00:00,1.8029543673033919,0.15896753168017028,0.17110126692126057,NaN,NaN
2017-08-13 18:00:00,2.349028196741581,0.17696244984686713,0.2035798290026996,NaN,NaN
2017-08-13 19:00:00,2.8936565685404676,0.18721588266878483,0.22780703689865675,NaN,NaN
2017-08-13 20:00:00,3.385287364389152,0.18994946496113674,0.24189226040071926,NaN,NaN
2017-08-13 21:00:00,3.782905899880998,0.1853938783202649,0.2454123605247673,NaN,NaN
2017-08-13 22:00:00,4.056976890744149,0.1741946267503839,0.23881306076391282,NaN,NaN
2017-08-13 23:00:00,4.1898765999764445,0.15735854179727232,0.2231535287104805,NaN,NaN
2017-08-14 00:00:00,4.176213401513845,0.13665977534412443,0.20011355449722193,NaN,NaN
2017-08-14 01:00:00,4.024989929041447,0.11487959250478678,0.17225749926875816,NaN,NaN
2017-08-14 02:00:00,3.760118112089642,0.09425447502222042,0.14277657209943762,NaN,NaN
2017-08-14 03:00:00,3.4147340926352046,0.07590143262381255,0.11452460398044685,NaN,NaN
2017-08-14 04:00:00,3.0245991176149896,0.06020467498344021,0.08936484830252761,NaN,NaN
2017-08-14 05:00:00,2.6212397723591723,0.047189984744374816,0.0681569726408721,NaN,NaN
2017-08-14 06:00:00,2.228938076398812,0.03662587886067755,0.051020966379627976,NaN,NaN
2017-08-14 07:00:00,1.8642254770472102,0.028268663700487043,0.037644279187583354,NaN,NaN
2017-08-14 08:00:00,1.5367632918875958,0.02259734520908498,0.0277905924316807,NaN,NaN
2017-08-14 09:00:00,1.2507894435042115,0.02150013938756415,0.022085357175600652,NaN,NaN
2017-08-14 10:00:00,1.0066386134853293,0.026447483944565527,0.022092713806806656,NaN,NaN
2017-08-14 11:00:00,0.8020859996172998,0.03814289246314465,0.02945582678215565,NaN,NaN
2017-08-14 12:00:00,0.6582319099830797,0.056875648249605074,0.045325412615672196,NaN,NaN
2017-08-14 13:00:00,0.6382466605767514,0.08128327160308264,0.0698240313169985,NaN,NaN
2017-08-14 14:00:00,0.7748212621856959,0.10772639976659254,0.10111308580540711,NaN,NaN
2017-08-14 15:00:00,1.0659490946405248,0.13474269853307094,0.1361251653439855,NaN,NaN
2017-08-14 16:00:00,1.4878775767007808,0.16105055637442903,0.17217504352049953,NaN,NaN
2017-08-14 17:00:00,2.0034359769599703,0.18390763367232124,0.20659735895623535,NaN,NaN
2017-08-14 18:00:00,2.564935432813906,0.20071211794919028,0.23624448794979372,NaN,NaN
2017-08-14 19:00:00,3.1186517394553372,0.20965448875795858,0.25801658536347477,NaN,NaN
2017-08-14 20:00:00,3.614518422542786,0.21149307865867722,0.27006856006084184,NaN,NaN
2017-08-14 21:00:00,4.015110383635599,0.2064064071841314,0.27212070882841805,NaN,NaN
2017-08-14 22:00:00,4.293037743140374,0.19441221781675233,0.2644450626865162,NaN,NaN
2017-08-14 23:00:00,4.429297514240117,0.1760356645055545,0.24756052750411148,NaN,NaN
2017-08-15 00:00:00,4.415735606756878,0.15343867636915745,0.22276550547566,NaN,NaN
2017-08-15 01:00:00,4.260600412268854,0.1299067022169098,0.19275886097361397,NaN,NaN
2017-08-15 02:00:00,3.989318955820181,0.10782160899747031,0.1611014195877198,NaN,NaN
2017-08-15 03:00:00,3.6365665301825554,0.08841819103559802,0.1309596559823878,NaN,NaN
2017-08-15 04:00:00,3.2383375786697273,0.07204244002111378,0.10437979672869649,NaN,NaN
2017-08-15 05:00:00,2.8259061746412693,0.05861297733005113,0.08224281339495657,NaN,NaN
2017-08-15 06:00:00,2.423405403843877,0.047865551767365046,0.06460044037814622,NaN,NaN
2017-08-15 07:00:00,2.04756279366851,0.03948202511206927,0.05104964237534404,NaN,NaN
2017-08-15 08:00:00,1.709969292788889,0.033727048049180225,0.041201301195581255,NaN,NaN
2017-08-15 09:00:00,1.4232143047417938,0.03245203627789352,0.03550247139763496,NaN,NaN
2017-08-15 10:00:00,1.2063503337106083,0.03763706973924055,0.03558145237320718,NaN,NaN
2017-08-15 11:00:00,1.0826454894774433,0.04990552645278001,0.04330968619005457,NaN,NaN
2017-08-15 12:00:00,1.0635170216629117,0.06881725831739803,0.05970285723455096,NaN,NaN
2017-08-15 13:00:00,1.170963829630477,0.09288251815102629,0.08445478538624346,NaN,NaN
2017-08-15 14:00:00,1.4075402410971178,0.11996754219437268,0.11592217459959596,NaN,NaN
2017-08-15 15:00:00,1.7605281376532869,0.14751883370864988,0.151420588675706,NaN,NaN
2017-08-15 16:00:00,2.2052976213396565,0.1730028223618668,0.18766634087470205,NaN,NaN
2017-08-15 17:00:00,2.7083944963237596,0.1943243890848217,0.22132474908062533,NaN,NaN
2017-08-15 18:00:00,3.2299034244111495,0.20971832745241098,0.24942170198524186,NaN,NaN
2017-08-15 19:00:00,3.7273751026071786,0.21782348336208845,0.2695136702774127,NaN,NaN
2017-08-15 20:00:00,4.159021833780545,0.2180156899605636,0.2798673445576132,NaN,NaN
