Day (2011),Borehole 4 (m),Borehole 6 (m),Borehole 7 (m),FOXX velocity (m/a),FOXX bed seperation (m),Temperature (*C),FOXX  Moulin Dday,FOXX moulin (m)
141.3541667,NaN,NaN,NaN,76.05682629,-0.002347673,-10.50000192,199.46875,NaN
141.3645833,NaN,NaN,NaN,76.76764157,-0.001997913,-10.49199872,199.4722222,NaN
141.375,NaN,NaN,NaN,77.10447757,-0.001656327,-10.46400064,199.4756944,NaN
141.3854167,NaN,NaN,NaN,77.64354769,-0.00129419,-10.41399904,199.4791667,NaN
141.3958333,NaN,NaN,NaN,77.81669753,-0.001052101,-10.35799648,199.4826389,NaN
141.40625,NaN,NaN,NaN,78.4725627,-0.000728177,-10.29599392,199.4861111,NaN
141.4166667,NaN,NaN,NaN,78.9415225,-0.000398774,-10.21599712,199.4895833,NaN
141.4270833,NaN,NaN,NaN,79.46447238,-5.15E-05,-10.11800128,199.4930556,NaN
141.4375,NaN,NaN,NaN,80.09516546,0.00044114,-10.0080016,199.4965278,NaN
141.4479167,NaN,NaN,NaN,80.60465475,0.0010053,-9.90000224,199.5,NaN
141.4583333,NaN,NaN,NaN,81.23373908,0.001587155,-9.783995202,199.5034722,NaN
141.46875,NaN,NaN,NaN,82.94739648,0.002263401,-9.639994562,199.5069444,NaN
141.4791667,NaN,NaN,NaN,84.67626892,0.002887357,-9.47799968,199.5104167,NaN
141.4895833,NaN,NaN,NaN,85.88680827,0.003462722,-9.3060016,199.5138889,NaN
141.5,NaN,NaN,NaN,87.24201063,0.004045657,-9.1260016,199.5173611,NaN
141.5104167,NaN,NaN,NaN,88.28168014,0.004707601,-8.936,199.5208333,NaN
141.5208333,NaN,NaN,NaN,89.60513764,0.005280671,-8.745999681,199.5243056,NaN
141.53125,NaN,NaN,NaN,89.75700927,0.005881331,-8.56000096,199.5277778,NaN
141.5416667,NaN,NaN,NaN,89.84111415,0.006517309,-8.37200288,199.53125,NaN
141.5520833,NaN,NaN,NaN,89.4868066,0.007219079,-8.178003201,199.5347222,NaN
141.5625,NaN,NaN,NaN,89.7138437,0.007937199,-7.98200192,199.5381944,NaN
141.5729167,NaN,NaN,NaN,90.17123352,0.008655348,-7.78800096,199.5416667,NaN
141.5833333,NaN,NaN,NaN,90.18538154,0.009362288,-7.595997762,199.5451389,NaN
141.59375,NaN,NaN,NaN,90.40492136,0.01020793,-7.397998402,199.5486111,NaN
141.6041667,NaN,NaN,NaN,90.36891811,0.011007483,-7.18800288,199.5520833,NaN
141.6145833,NaN,NaN,NaN,90.51919647,0.011798154,-6.972003521,199.5555556,NaN
141.625,NaN,NaN,NaN,90.28872299,0.012592295,-6.75600224,199.5590278,NaN
141.6354167,NaN,NaN,NaN,90.22178067,0.013314796,-6.54600192,199.5625,NaN
141.6458333,NaN,NaN,NaN,90.41656417,0.013992211,-6.344002881,199.5659722,NaN
141.65625,NaN,NaN,NaN,90.14368248,0.014551964,-6.15000608,199.5694444,NaN
141.6666667,NaN,NaN,NaN,89.49626166,0.015062161,-5.96400672,199.5729167,NaN
141.6770833,NaN,NaN,NaN,88.86252901,0.015388936,-5.79200288,199.5763889,NaN
141.6875,NaN,NaN,NaN,88.07621627,0.015754594,-5.63400128,199.5798611,NaN
141.6979167,NaN,NaN,NaN,87.81936809,0.016134342,-5.49200224,199.5833333,NaN
141.7083333,NaN,NaN,NaN,87.42151214,0.016399977,-5.351997122,199.5868056,NaN
141.71875,NaN,NaN,NaN,85.65538863,0.016559068,-5.19400224,199.5902778,NaN
141.7291667,NaN,NaN,NaN,83.5430632,0.016696679,-5.038006719,199.59375,NaN
141.7395833,NaN,NaN,NaN,81.78363193,0.016811499,-4.908,199.5972222,NaN
141.75,NaN,NaN,NaN,79.74450761,0.01681999,-4.79599872,199.6006944,NaN
141.7604167,NaN,NaN,NaN,78.69680857,0.016705129,-4.6899984,199.6041667,NaN
141.7708333,NaN,NaN,NaN,78.31119745,0.016490809,-4.592003839,199.6076389,NaN
141.78125,NaN,NaN,NaN,77.83254153,0.016234607,-4.516005758,199.6111111,NaN
141.7916667,NaN,NaN,NaN,78.43503502,0.015823291,-4.458001919,199.6145833,NaN
141.8020833,NaN,NaN,NaN,79.97158553,0.015343281,-4.41799808,199.6180556,NaN
141.8125,NaN,NaN,NaN,80.06619072,0.014752238,-4.399996479,199.6215278,NaN
141.8229167,NaN,NaN,NaN,79.02645796,0.014142942,-4.391996479,199.625,NaN
141.8333333,NaN,NaN,NaN,78.84153787,0.013560816,-4.389998079,199.6284722,NaN
141.84375,NaN,NaN,NaN,78.92554854,0.012819559,-4.396002558,199.6319444,544.8566217
