Date,melt_rate,melt_mmperh_smooth_6h,Qm3s,SOY,DOY,q_suh_mmh
2017-08-01 11:00:00,0.7116665000000002,0.7083802083333255,0.15741782407407234,18356400.0,212.45833333333334,1.591617326755307
2017-08-01 12:00:00,0.7999045,0.7951887083333254,0.1767086018518501,18360000.0,212.5,1.7568721194003094
2017-08-01 13:00:00,0.8499960000000002,0.877602604166659,0.19502280092592425,18363600.0,212.54166666666666,1.9594486404320932
2017-08-01 14:00:00,0.9819205,0.9170687708333257,0.2037930601851835,18367200.0,212.58333333333334,2.1903055436068284
2017-08-01 15:00:00,1.0378,0.932622354166659,0.20724941203703534,18370800.0,212.625,2.4258887889518013
2017-08-01 16:00:00,0.9997875,0.9209966041666588,0.2046659120370353,18374400.0,212.66666666666666,2.6455694161996073
2017-08-01 17:00:00,0.8984125000000002,0.8807155624999922,0.1957145694444427,18378000.0,212.70833333333334,2.830978736089748
2017-08-01 18:00:00,0.8218705000000002,0.802477041666659,0.1783282314814798,18381600.0,212.75,2.966267527197547
2017-08-01 19:00:00,0.7248875000000001,0.6991093333333257,0.15535762962962793,18385200.0,212.79166666666666,3.0345400423438194
2017-08-01 20:00:00,0.6608335000000001,0.6027573749999923,0.13394608333333163,18388800.0,212.83333333333334,3.0251508688823394
2017-08-01 21:00:00,0.4754415000000001,0.503564354166659,0.1119031898148131,18392400.0,212.875,2.9437881963920947
2017-08-01 22:00:00,0.3954000000000001,0.4093499999999923,0.09096666666666496,18396000.0,212.91666666666666,2.799324978056793
2017-08-01 23:00:00,0.313579,0.32636877083332566,0.07252639351851681,18399600.0,212.95833333333334,2.6042073835284425
2017-08-02 00:00:00,0.22940000000000002,0.26803097916665897,0.0595624398148131,18403200.0,213.0,2.3736504196497923
2017-08-02 01:00:00,0.19412100000000002,0.2276456249999923,0.050587916666664956,18406800.0,213.04166666666666,2.1277968021967273
2017-08-02 02:00:00,0.18811700000000003,0.20010381249999232,0.04446751388888718,18410400.0,213.08333333333334,1.8844180426895085
2017-08-02 03:00:00,0.18680450000000004,0.19064324999999233,0.04236516666666496,18414000.0,213.125,1.6564119065271468
2017-08-02 04:00:00,0.17720850000000002,0.194949979166659,0.04332221759259089,18417600.0,213.16666666666666,1.4551268785813596
2017-08-02 05:00:00,0.18753350000000008,0.20985302083332563,0.04663400462962791,18421200.0,213.20833333333334,1.288373609148618
2017-08-02 06:00:00,0.2078375,0.23464252083332562,0.05214278240740569,18424800.0,213.25,1.1602982575153227
2017-08-02 07:00:00,0.24955400000000005,0.27502962499999223,0.06111769444444272,18428400.0,213.29166666666666,1.0727109713706124
2017-08-02 08:00:00,0.294408,0.32789764583332554,0.07286614351851678,18432000.0,213.33333333333334,1.0283063190299497
2017-08-02 09:00:00,0.369375,0.40374397916665883,0.08972088425925752,18435600.0,213.375,1.0287116624737813
2017-08-02 10:00:00,0.43598750000000014,0.49089518749999217,0.1090878194444427,18439200.0,213.41666666666666,1.0789527088726447
2017-08-02 11:00:00,0.570833,0.6154575624999923,0.1367683472222205,18442800.0,213.45833333333334,1.1806279945470743
2017-08-02 12:00:00,0.6871085000000001,0.7669454583333256,0.17043232407407236,18446400.0,213.5,1.3436341796615563
2017-08-02 13:00:00,0.8214790000000001,0.9295511874999927,0.20656693055555392,18450000.0,213.54166666666666,1.5766199426617784
2017-08-02 14:00:00,1.1583875000000001,1.0676752916666594,0.2372611759259243,18453600.0,213.58333333333334,1.8807468426039822
2017-08-02 15:00:00,1.1779460000000002,1.1650771666666593,0.2589060370370354,18457200.0,213.625,2.2399299171599085
2017-08-02 16:00:00,1.5427165,1.256048020833326,0.27912178240740576,18460800.0,213.66666666666666,2.6254494527693426
2017-08-02 17:00:00,1.1960455,1.2853501249999926,0.2856333611111095,18464400.0,213.70833333333334,3.0188521419625074
